NAME                                  READY   STATUS    RESTARTS   AGE
bloaty-mcbloatface-66dd4b7b5b-44vhs   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-8kqwc   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-9snns   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-b4842   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-bbmd8   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-djrgw   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-dx4ld   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-fn26r   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-g9c88   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-jlr2v   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-kwcwt   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-lxdqb   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-mg6gn   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-n5rbb   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-tvwdt   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-vbl4x   1/1     Running   0          72s
bloaty-mcbloatface-66dd4b7b5b-vf4kv   1/1     Running   0          72s
canary-v1-bdb7f878d-2xsth             1/1     Running   0          97m
canary-v1-bdb7f878d-4kvgr             1/1     Running   0          97m
canary-v1-bdb7f878d-jwbrk             1/1     Running   0          97m
green-679ddbb68c-8jhf6                1/1     Running   0          83m
green-679ddbb68c-blhgd                1/1     Running   0          83m
green-679ddbb68c-gcvbv                1/1     Running   0          83m
hello-world-5c7b657bb8-jprbf          1/1     Running   0          97m
